country,country_name,bidding_zone,psr_type,generation_type,start_time,position,quantity_mw
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,67,11.68
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,68,18.85
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,69,18.72
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,70,18.55
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,71,18.54
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,72,18.68
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,73,18.76
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,74,18.54
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,75,18.71
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,76,18.68
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,77,18.63
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,78,18.7
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,79,18.75
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,80,18.67
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,81,18.48
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,82,18.72
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,83,20.48
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,84,196.73
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,85,352.9
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,86,354.02
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,87,352.79
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,88,189.26
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,89,175.89
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,90,174.48
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,91,173.78
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,92,173.66
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,93,13.45
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,94,20.21
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,95,68.05
FR,Unknown,,B10,Hydro Pumped Storage,2026-01-27 00:00:00+00:00,96,330.58
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,1,35.16
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,2,3.79
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,3,3.56
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,4,6.4
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,5,9.95
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,6,9.17
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,7,8.5
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,8,9.61
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,9,17.43
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,10,20.58
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,11,21.16
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,12,19.92
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,13,13.21
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,14,14.81
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,15,17.9
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,16,20.65
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,17,9.77
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,18,11.56
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,19,3.05
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,20,7.83
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,21,35.36
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,22,9.33
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,23,9.1
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,24,87.72
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,25,39.52
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,26,89.23
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,27,1.52
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,28,40.29
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,29,3.86
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,30,22.56
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,31,17.26
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,32,24.19
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,33,40.02
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,34,27.42
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,35,28.77
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,36,26.89
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,37,11.09
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,38,7.51
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,39,15.09
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,40,8.27
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,41,9.82
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,42,12.93
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,43,2.82
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,44,36.87
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,45,32.54
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,46,15.16
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,47,5.97
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,48,13.45
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,49,45.29
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,50,49.42
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,51,18.42
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,52,57.38
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,53,23.33
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,54,29.72
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,55,43.21
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,56,24.9
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,57,8.24
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,58,4.64
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,59,12.58
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,60,10.55
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,61,65.64
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,62,45.67
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,63,41.81
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,64,16.98
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,65,14.91
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,66,14.88
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,67,15.09
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,68,15.13
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,69,0.87
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,70,1.54
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,71,1.94
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,72,3.17
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,73,7.29
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,74,6.54
FR,Unknown,,B25,Energy storage,2026-01-27 00:00:00+00:00,75,6.17
