country,bidding_zone,psr_type,start_time,position,quantity_mw
FR,,B25,2026-01-27T00:00Z,26,89.23
FR,,B25,2026-01-27T00:00Z,27,1.52
FR,,B25,2026-01-27T00:00Z,28,40.29
FR,,B25,2026-01-27T00:00Z,29,3.86
FR,,B25,2026-01-27T00:00Z,30,22.56
FR,,B25,2026-01-27T00:00Z,31,17.26
FR,,B25,2026-01-27T00:00Z,32,24.19
FR,,B25,2026-01-27T00:00Z,33,40.02
FR,,B25,2026-01-27T00:00Z,34,27.42
FR,,B25,2026-01-27T00:00Z,35,28.77
FR,,B25,2026-01-27T00:00Z,36,26.89
FR,,B25,2026-01-27T00:00Z,37,11.09
FR,,B25,2026-01-27T00:00Z,38,7.51
FR,,B25,2026-01-27T00:00Z,39,15.09
FR,,B25,2026-01-27T00:00Z,40,8.27
FR,,B25,2026-01-27T00:00Z,41,9.82
FR,,B25,2026-01-27T00:00Z,42,12.93
FR,,B25,2026-01-27T00:00Z,43,2.82
FR,,B25,2026-01-27T00:00Z,44,36.87
FR,,B25,2026-01-27T00:00Z,45,32.54
FR,,B25,2026-01-27T00:00Z,46,15.16
FR,,B25,2026-01-27T00:00Z,47,5.97
FR,,B25,2026-01-27T00:00Z,48,13.45
FR,,B25,2026-01-27T00:00Z,49,45.29
FR,,B25,2026-01-27T00:00Z,50,49.42
FR,,B25,2026-01-27T00:00Z,51,18.42
FR,,B25,2026-01-27T00:00Z,52,57.38
FR,,B25,2026-01-27T00:00Z,53,23.33
FR,,B25,2026-01-27T00:00Z,54,29.72
FR,,B25,2026-01-27T00:00Z,55,43.21
FR,,B25,2026-01-27T00:00Z,56,24.9
FR,,B25,2026-01-27T00:00Z,57,8.24
FR,,B25,2026-01-27T00:00Z,58,4.64
FR,,B25,2026-01-27T00:00Z,59,12.58
FR,,B25,2026-01-27T00:00Z,60,10.55
FR,,B25,2026-01-27T00:00Z,61,65.64
FR,,B25,2026-01-27T00:00Z,62,45.67
FR,,B25,2026-01-27T00:00Z,63,41.81
FR,,B25,2026-01-27T00:00Z,64,16.98
FR,,B25,2026-01-27T00:00Z,65,14.91
FR,,B25,2026-01-27T00:00Z,66,14.88
FR,,B25,2026-01-27T00:00Z,67,15.09
FR,,B25,2026-01-27T00:00Z,68,15.13
FR,,B25,2026-01-27T00:00Z,69,0.87
FR,,B25,2026-01-27T00:00Z,70,1.54
FR,,B25,2026-01-27T00:00Z,71,1.94
FR,,B25,2026-01-27T00:00Z,72,3.17
FR,,B25,2026-01-27T00:00Z,73,7.29
FR,,B25,2026-01-27T00:00Z,74,6.54
